key	text	tooltip
building_culture_variants_name_wh_main_emp_settlement_minor_2ovn_emp_grudgebringers	Outpost	true
building_culture_variants_name_wh_main_emp_settlement_minor_3ovn_emp_grudgebringers	Large Outpost	true
building_culture_variants_name_wh_main_emp_worship_1ovn_emp_grudgebringers	Shrine of Sigmar	true
building_culture_variants_name_wh_main_emp_cha_grudge_gunpowderovn_emp_grudgebringers	Enlistment Station	false
building_culture_variants_name_ovn_grudge_settlement_smithovn_emp_grudgebringers	Outpost Blacksmith	false
building_culture_variants_name_wh_main_emp_cha_grudge_storehouseovn_emp_grudgebringers	Store Wagon	false
building_culture_variants_name_wh_main_emp_cha_grudge_replen_1ovn_emp_grudgebringers	Barber Surgeon	false
building_culture_variants_name_wh_main_emp_cha_grudge_replen_2ovn_emp_grudgebringers	Field Hospital	false
building_culture_variants_name_wh_main_emp_cha_grudge_replen_1ovn_emp_grudgebringers	Barber Surgeon	false
building_culture_variants_name_wh_main_emp_cha_grudge_replen_2ovn_emp_grudgebringers	Field Hospital	false
building_culture_variants_name_wh_main_emp_cha_grudge_gunpowderovn_emp_grudgebringers	Enlistment Station	false
building_culture_variants_name_ovn_grudge_settlement_smithovn_emp_grudgebringers	Outpost Blacksmith	false
building_culture_variants_name_wh_main_emp_cha_grudge_blacksmithovn_emp_grudgebringers	Camp Blacksmith	true
building_culture_variants_name_wh_main_emp_cha_grudge_growth_1ovn_emp_grudgebringers	Scouts Post	true
building_culture_variants_name_wh_main_emp_cha_grudge_growth_2ovn_emp_grudgebringers	Hunter's Lodge	true
building_culture_variants_name_wh_main_emp_cha_grudge_growth_3ovn_emp_grudgebringers	Ranger's Outpost	true
building_culture_variants_name_wh_main_emp_cha_grudge_incomeovn_emp_grudgebringers	Trader	true
building_culture_variants_name_wh_main_emp_cha_grudge_main_1ovn_emp_grudgebringers	Small Camp	true
building_culture_variants_name_wh_main_emp_cha_grudge_main_2ovn_emp_grudgebringers	Camp	true
building_culture_variants_name_wh_main_emp_cha_grudge_main_3ovn_emp_grudgebringers	War Camp	true
building_culture_variants_name_wh_main_emp_cha_grudge_main_4ovn_emp_grudgebringers	Camp Fort	true
building_culture_variants_name_wh_main_emp_cha_grudge_main_5ovn_emp_grudgebringers	Wagon Fort	true
building_culture_variants_name_wh_main_emp_cha_grudge_paymasterovn_emp_grudgebringers	Paymaster Wagon	true
building_culture_variants_name_wh_main_emp_cha_grudge_recruit_1ovn_emp_grudgebringers	Press-Gang Wagon	true
building_culture_variants_name_wh_main_emp_cha_grudge_recruit_2ovn_emp_grudgebringers	Conscripter Wagon	true
building_culture_variants_name_wh_main_emp_cha_grudge_recruit_3ovn_emp_grudgebringers	Mercenary Contractor Wagon	true
building_culture_variants_name_wh_main_emp_cha_grudge_wizard_1ovn_emp_grudgebringers	Wizard's Cart	true
building_culture_variants_name_wh_main_emp_cha_grudge_wizard_2ovn_emp_grudgebringers	Wizards Stall	true
building_culture_variants_name_wh_main_emp_cha_grudge_worshipovn_emp_grudgebringers	Altar of Sigmar	true
building_culture_variants_name_wh_main_emp_farm_basic_1ovn_emp_grudgebringers	Barber Surgeon	false
building_culture_variants_name_wh_main_emp_farm_basic_2ovn_emp_grudgebringers	Aid Station	false
building_culture_variants_name_wh_main_emp_farm_basic_3ovn_emp_grudgebringers	Field Hospital	false
building_culture_variants_name_wh_main_emp_settlement_major_1_coastovn_emp_grudgebringers	Small Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_1ovn_emp_grudgebringers	Small Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_2_coastovn_emp_grudgebringers	Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_2ovn_emp_grudgebringers	Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_3_coastovn_emp_grudgebringers	Large Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_3ovn_emp_grudgebringers	Large Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_4_coastovn_emp_grudgebringers	Bustling Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_4ovn_emp_grudgebringers	Bustling Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_5_coastovn_emp_grudgebringers	Sprawling Outpost	true
building_culture_variants_name_wh_main_emp_settlement_major_5ovn_emp_grudgebringers	Sprawling Outpost	true
building_culture_variants_name_wh_main_emp_settlement_minor_1_coastovn_emp_grudgebringers	Small Outpost	true
building_culture_variants_name_wh_main_emp_settlement_minor_1ovn_emp_grudgebringers	Small Outpost	true
building_culture_variants_name_wh_main_emp_settlement_minor_2_coastovn_emp_grudgebringers	Outpost	true
building_culture_variants_name_wh_main_emp_settlement_minor_2ovn_emp_grudgebringers	Outpost	true
building_culture_variants_name_wh_main_emp_settlement_minor_3_coastovn_emp_grudgebringers	Large Outpost	true
building_culture_variants_name_wh_main_emp_settlement_minor_3ovn_emp_grudgebringers	Large Outpost	true
building_culture_variants_name_wh_main_emp_worship_1ovn_emp_grudgebringers	Shrine of Sigmar	true
building_culture_variants_name_wh_main_emp_cha_grudge_recruit_race_other_1ovn_emp_grudgebringers	Foreign Caravan	true
building_culture_variants_name_wh_main_emp_cha_grudge_recruit_race_other_2ovn_emp_grudgebringers	Foreign Quarters	true
building_culture_variants_name_wh_main_emp_cha_grudge_recruit_race_other_3ovn_emp_grudgebringers	Foreign Camp	true
building_culture_variants_name_wh_main_emp_cha_grudge_gunpowder_1ovn_emp_grudgebringers	Gunpowder Keg	true
building_culture_variants_name_wh_main_emp_cha_grudge_gunpowder_2ovn_emp_grudgebringers	Black-Powder Wagon	true
building_culture_variants_name_wh_main_emp_cha_grudge_gunpowder_3ovn_emp_grudgebringers	Black-Powder Stores	true
